country_code,indicator,year,weeknum,last_year,country,continent,population,weekly_count,year_week,cumulative_count,source,rate_14_day,log_scale
FJI,cases,2021,52,True,Fiji,Oceania,896444,58.0,2021-52,55009.0,Epidemic intelligence national data,263.039297490976,2.4200206359747676
FJI,deaths,2021,52,True,Fiji,Oceania,896444,0.0,2021-52,702.0,Epidemic intelligence national data,5.57759324620389,0.7464468395517153
FLK,cases,2021,52,True,Falkland Islands (Malvinas),America,3483,1.0,2021-52,81.0,Epidemic intelligence national data,0.0,-inf
FLK,deaths,2021,52,True,Falkland Islands (Malvinas),America,3483,0.0,2021-52,0.0,Epidemic intelligence national data,0.0,-inf
FRA,cases,2021,52,True,France,Europe,67320216,1121911.0,2021-52,10228050.0,TESSy COVID-19,2436.75243109737,3.386811408023498
FRA,deaths,2021,52,True,France,Europe,67320216,1320.0,2021-52,128049.0,TESSy COVID-19,37.210219289849,1.5706622294434833
FRO,cases,2021,52,True,Faroe Islands,Europe,48865,322.0,2021-52,6367.0,Epidemic intelligence national data,3339.8137726389,3.5237222513115283
FRO,deaths,2021,52,True,Faroe Islands,Europe,48865,0.0,2021-52,15.0,Epidemic intelligence national data,40.929090350967,1.6120320925576683
FSM,cases,2021,52,True,Micronesia (Federated States Of),Oceania,115021,0.0,2021-52,0.0,Epidemic intelligence national data,0.0,-inf
FSM,deaths,2021,52,True,Micronesia (Federated States Of),Oceania,115021,0.0,2021-52,0.0,Epidemic intelligence national data,0.0,-inf
GAB,cases,2021,52,True,Gabon,Africa,2225728,204.0,2021-52,37932.0,Epidemic intelligence national data,4.58277022169825,0.6611280824356612
GAB,deaths,2021,52,True,Gabon,Africa,2225728,1.0,2021-52,290.0,Epidemic intelligence national data,1.79716479282284,0.2545879020017054
GBR,cases,2021,52,True,United Kingdom,Europe,68059863,541872.0,2021-52,13235401.0,Epidemic intelligence national data,2753.47894837814,3.4398817604475327
GBR,deaths,2021,52,True,United Kingdom,Europe,68059863,779.0,2021-52,148851.0,Epidemic intelligence national data,23.9935834134723,1.3800951141820472
GEO,cases,2021,52,True,Georgia,Europe,3989175,19643.0,2021-52,938583.0,Epidemic intelligence national data,705.083131223875,2.848240324513913
GEO,deaths,2021,52,True,Georgia,Europe,3989175,339.0,2021-52,13942.0,Epidemic intelligence national data,207.060357091379,2.3160969586497355
GGY,cases,2021,52,True,Guernsey,Europe,64468,588.0,2021-52,8085.0,Epidemic intelligence national data,3518.02444623689,3.5462988529807085
GGY,deaths,2021,52,True,Guernsey,Europe,64468,0.0,2021-52,24.0,Epidemic intelligence national data,15.5115716324378,1.1906558027598397
GHA,cases,2021,52,True,Ghana,Africa,31072945,71.0,2021-52,146119.0,Epidemic intelligence national data,45.7246649778449,1.6601505321078573
GHA,deaths,2021,52,True,Ghana,Africa,31072945,2.0,2021-52,1306.0,Epidemic intelligence national data,1.6412992073973,0.21518775977126683
GIB,cases,2021,52,True,Gibraltar,Europe,33691,297.0,2021-52,8927.0,Epidemic intelligence national data,3279.80766376777,3.515848376329514
GIB,deaths,2021,52,True,Gibraltar,Europe,33691,0.0,2021-52,100.0,Epidemic intelligence national data,0.0,-inf
GIN,cases,2021,52,True,Guinea,Africa,13132792,0.0,2021-52,31238.0,Epidemic intelligence national data,3.22855947158837,0.5090087907247526
GIN,deaths,2021,52,True,Guinea,Africa,13132792,0.0,2021-52,389.0,Epidemic intelligence national data,0.0761452705563295,-1.11835706586798
GMB,cases,2021,52,True,Gambia,Africa,2416664,6.0,2021-52,10170.0,Epidemic intelligence national data,4.92414336457199,0.6923306887629613
GMB,deaths,2021,52,True,Gambia,Africa,2416664,0.0,2021-52,343.0,Epidemic intelligence national data,0.413793560048066,-0.38321627262956987
GNB,cases,2021,52,True,Guinea Bissau,Africa,1967998,8.0,2021-52,6484.0,Epidemic intelligence national data,1.42276567354235,0.1531333786033012
GNB,deaths,2021,52,True,Guinea Bissau,Africa,1967998,0.0,2021-52,149.0,Epidemic intelligence national data,0.0,-inf
GNQ,cases,2021,52,True,Equatorial Guinea,Africa,1402985,6.0,2021-52,13710.0,Epidemic intelligence national data,6.55744715731102,0.8167347995474541
GNQ,deaths,2021,52,True,Equatorial Guinea,Africa,1402985,0.0,2021-52,175.0,Epidemic intelligence national data,0.0,-inf
GRC,cases,2021,52,True,Greece,Europe,10718565,198401.0,2021-52,1281588.0,TESSy COVID-19,2283.27206113878,3.35855766252472
GRC,deaths,2021,52,True,Greece,Europe,10718565,486.0,2021-52,20973.0,TESSy COVID-19,94.4156237332143,1.9750438665404506
GRD,cases,2021,52,True,Grenada,America,112519,5.0,2021-52,5968.0,Epidemic intelligence national data,42.6594619575361,1.6300153736088
GRD,deaths,2021,52,True,Grenada,America,112519,0.0,2021-52,200.0,Epidemic intelligence national data,0.0,-inf
